Organism,Country,Alert_Year,Current_MDR_Rate_%,Already_Above_50,ARIMA_Forecast_%,Prophet_Forecast_%,Ensemble_Mean_%,ARIMA_Alert,Prophet_Alert,Both_Models_Alert,Models_Alerting
Klebsiella pneumoniae,Colombia,2026,59.09,True,63.51,73.28,68.4,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Colombia,2027,59.09,True,63.51,75.46,69.48,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Colombia,2028,59.09,True,63.51,77.65,70.58,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Colombia,2029,59.09,True,63.51,79.85,71.68,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Colombia,2030,59.09,True,63.51,82.03,72.77,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2025,80.7,True,75.37,85.49,80.43,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2026,80.7,True,75.73,87.23,81.48,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2027,80.7,True,77.28,88.97,83.12,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2028,80.7,True,76.31,90.71,83.51,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2029,80.7,True,76.34,92.46,84.4,True,True,True,ARIMA+Prophet
