T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
414,Kuwait,2005,Current health expenditure (% of GDP),2.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2010,Current health expenditure (% of GDP),2.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2015,Current health expenditure (% of GDP),4.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2020,Current health expenditure (% of GDP),6.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2021,Current health expenditure (% of GDP),5.5,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2022,Current health expenditure (% of GDP),4.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2005,Domestic general government health expenditure (% of total government expenditure),5.4,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2010,Domestic general government health expenditure (% of total government expenditure),5.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2015,Domestic general government health expenditure (% of total government expenditure),6.5,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2020,Domestic general government health expenditure (% of total government expenditure),8.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2021,Domestic general government health expenditure (% of total government expenditure),9.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
414,Kuwait,2022,Domestic general government health expenditure (% of total government expenditure),9.4,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2005,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2010,Current health expenditure (% of GDP),7.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2015,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2020,Current health expenditure (% of GDP),4.9,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2021,Current health expenditure (% of GDP),5.4,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2022,Current health expenditure (% of GDP),4.9,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2005,Domestic general government health expenditure (% of total government expenditure),13.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2010,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2015,Domestic general government health expenditure (% of total government expenditure),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2020,Domestic general government health expenditure (% of total government expenditure),6.9,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2021,Domestic general government health expenditure (% of total government expenditure),9.2,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
417,Kyrgyzstan,2022,Domestic general government health expenditure (% of total government expenditure),7.6,Data revision.;Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2005,Current health expenditure (% of GDP),3.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2010,Current health expenditure (% of GDP),2.9,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2015,Current health expenditure (% of GDP),2.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2020,Current health expenditure (% of GDP),2.1,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2021,Current health expenditure (% of GDP),2.7,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2022,Current health expenditure (% of GDP),2.0,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2005,Domestic general government health expenditure (% of total government expenditure),5.9,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2010,Domestic general government health expenditure (% of total government expenditure),2.7,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2015,Domestic general government health expenditure (% of total government expenditure),3.4,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2020,Domestic general government health expenditure (% of total government expenditure),4.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2021,Domestic general government health expenditure (% of total government expenditure),4.6,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
418,Lao People's Dem. Rep.,2022,Domestic general government health expenditure (% of total government expenditure),4.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2005,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2010,Current health expenditure (% of GDP),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2015,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2020,Current health expenditure (% of GDP),7.3,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2021,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2022,Current health expenditure (% of GDP),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2005,Domestic general government health expenditure (% of total government expenditure),9.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2010,Domestic general government health expenditure (% of total government expenditure),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2015,Domestic general government health expenditure (% of total government expenditure),8.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2020,Domestic general government health expenditure (% of total government expenditure),10.9,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2021,Domestic general government health expenditure (% of total government expenditure),14.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
428,Latvia,2022,Domestic general government health expenditure (% of total government expenditure),12.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2005,Current health expenditure (% of GDP),7.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2010,Current health expenditure (% of GDP),7.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2015,Current health expenditure (% of GDP),7.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2020,Current health expenditure (% of GDP),7.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2021,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2022,Current health expenditure (% of GDP),5.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2005,Domestic general government health expenditure (% of total government expenditure),9.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2010,Domestic general government health expenditure (% of total government expenditure),10.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2015,Domestic general government health expenditure (% of total government expenditure),12.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2020,Domestic general government health expenditure (% of total government expenditure),17.2,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2021,Domestic general government health expenditure (% of total government expenditure),15.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
422,Lebanon,2022,Domestic general government health expenditure (% of total government expenditure),15.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2005,Current health expenditure (% of GDP),4.7,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2010,Current health expenditure (% of GDP),7.6,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2015,Current health expenditure (% of GDP),9.3,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2020,Current health expenditure (% of GDP),10.5,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2021,Current health expenditure (% of GDP),10.8,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2022,Current health expenditure (% of GDP),12.7,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2005,Domestic general government health expenditure (% of total government expenditure),6.0,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2010,Domestic general government health expenditure (% of total government expenditure),7.2,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2020,Domestic general government health expenditure (% of total government expenditure),8.9,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2021,Domestic general government health expenditure (% of total government expenditure),8.2,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
426,Lesotho,2022,Domestic general government health expenditure (% of total government expenditure),13.1,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2005,Current health expenditure (% of GDP),7.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2010,Current health expenditure (% of GDP),10.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2015,Current health expenditure (% of GDP),10.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2020,Current health expenditure (% of GDP),12.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2021,Current health expenditure (% of GDP),13.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2022,Current health expenditure (% of GDP),13.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2005,Domestic general government health expenditure (% of total government expenditure),4.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2010,Domestic general government health expenditure (% of total government expenditure),5.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2015,Domestic general government health expenditure (% of total government expenditure),3.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2020,Domestic general government health expenditure (% of total government expenditure),3.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2021,Domestic general government health expenditure (% of total government expenditure),3.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
430,Liberia,2022,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2005,Current health expenditure (% of GDP),2.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2010,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2015,Current health expenditure (% of GDP),5.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2020,Current health expenditure (% of GDP),7.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2021,Current health expenditure (% of GDP),6.2,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2022,Current health expenditure (% of GDP),4.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2005,Domestic general government health expenditure (% of total government expenditure),5.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2010,Domestic general government health expenditure (% of total government expenditure),4.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2015,Domestic general government health expenditure (% of total government expenditure),7.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2020,Domestic general government health expenditure (% of total government expenditure),9.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2021,Domestic general government health expenditure (% of total government expenditure),6.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
434,Libya,2022,Domestic general government health expenditure (% of total government expenditure),5.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2005,Current health expenditure (% of GDP),5.6,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2010,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2015,Current health expenditure (% of GDP),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2020,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2021,Current health expenditure (% of GDP),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2022,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2005,Domestic general government health expenditure (% of total government expenditure),10.1,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2010,Domestic general government health expenditure (% of total government expenditure),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2015,Domestic general government health expenditure (% of total government expenditure),12.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2020,Domestic general government health expenditure (% of total government expenditure),12.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2021,Domestic general government health expenditure (% of total government expenditure),14.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
440,Lithuania,2022,Domestic general government health expenditure (% of total government expenditure),13.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2005,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2010,Current health expenditure (% of GDP),6.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2015,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2020,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2021,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2022,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2005,Domestic general government health expenditure (% of total government expenditure),13.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2010,Domestic general government health expenditure (% of total government expenditure),13.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2015,Domestic general government health expenditure (% of total government expenditure),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2020,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2021,Domestic general government health expenditure (% of total government expenditure),11.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
442,Luxembourg,2022,Domestic general government health expenditure (% of total government expenditure),11.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2005,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2010,Current health expenditure (% of GDP),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2015,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2020,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2021,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2022,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2005,Domestic general government health expenditure (% of total government expenditure),10.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2010,Domestic general government health expenditure (% of total government expenditure),15.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2015,Domestic general government health expenditure (% of total government expenditure),15.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2020,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2021,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
450,Madagascar,2022,Domestic general government health expenditure (% of total government expenditure),5.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2005,Current health expenditure (% of GDP),4.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2010,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2015,Current health expenditure (% of GDP),6.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2020,Current health expenditure (% of GDP),7.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2021,Current health expenditure (% of GDP),7.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2022,Current health expenditure (% of GDP),6.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2005,Domestic general government health expenditure (% of total government expenditure),6.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2010,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2020,Domestic general government health expenditure (% of total government expenditure),6.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2021,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
454,Malawi,2022,Domestic general government health expenditure (% of total government expenditure),3.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2005,Current health expenditure (% of GDP),2.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
458,Malaysia,2010,Current health expenditure (% of GDP),3.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
